80,Corey Brewer,602,278,15262,2276,5360,.425,418,1441,.290,1858,3919,.474,.464,1047,1467,.714,493,1326,1819,1021,824,173,806,1378,6017,
81,Ronnie Brewer,502,304,11539,1554,3169,.490,90,355,.254,1464,2814,.520,.505,742,1099,.675,451,976,1427,828,622,120,390,545,3940,
82,Aaron Brooks,521,182,11915,2037,4927,.413,737,1990,.370,1300,2937,.443,.488,858,1016,.844,223,741,964,1699,313,77,883,1052,5669,
83,MarShon Brooks,164,49,2876,486,1100,.442,75,230,.326,411,870,.472,.476,214,286,.748,112,246,358,232,100,35,211,230,1261,
84,Anthony Brown,25,8,474,32,101,.317,17,57,.298,15,44,.341,.401,14,17,.824,7,48,55,12,10,5,14,26,95,
85,Jabari Brown,19,5,568,70,170,.412,23,62,.371,47,108,.435,.479,64,85,.753,3,33,36,40,12,2,32,33,227,
86,Lorenzo Brown,63,7,834,86,233,.369,10,66,.152,76,167,.455,.391,24,36,.667,22,83,105,142,44,10,55,72,206,
87,Markel Brown,82,33,1182,114,319,.357,34,116,.293,80,203,.394,.411,79,99,.798,22,127,149,74,42,17,45,102,341,
88,Shannon Brown,408,60,7329,1198,2854,.420,276,831,.332,922,2023,.456,.468,446,553,.807,177,583,760,458,284,90,378,538,3118,
89,Kobe Bryant,1325,1177,48093,11583,25838,.448,1784,5400,.330,9799,20438,.479,.483,8293,9913,.837,1491,5500,6991,6274,1925,636,3978,3324,33243,
90,Chase Budinger,382,50,7703,1152,2694,.428,407,1147,.355,745,1547,.482,.503,401,501,.800,220,971,1191,452,204,62,291,461,3112,
91,Reggie Bullock,97,2,822,68,210,.324,38,129,.295,30,81,.370,.414,16,21,.762,15,97,112,23,20,5,23,50,190,
92,Trey Burke,195,111,5708,938,2439,.385,309,939,.329,629,1500,.419,.448,262,323,.811,85,426,511,850,138,26,317,327,2447,
93,Alec Burks,256,42,5928,950,2201,.432,153,423,.362,797,1778,.448,.466,687,915,.751,188,560,748,500,164,41,375,521,2740,
94,Caron Butler,873,732,28243,4582,10559,.434,744,2134,.349,3838,8425,.456,.469,2483,2932,.847,1101,3275,4376,2000,1159,215,1593,2117,12391,
95,Jimmy Butler,304,200,9414,1324,2975,.445,236,709,.333,1088,2266,.480,.485,1183,1461,.810,413,929,1342,721,411,139,366,421,4067,
96,Rasual Butler,799,266,17109,2280,5661,.403,908,2510,.362,1372,3151,.435,.483,592,791,.748,294,1628,1922,655,284,403,526,1129,6060,
97,Dwight Buycks,20,0,269,33,88,.375,12,28,.429,21,60,.350,.443,17,19,.895,6,29,35,24,11,0,22,14,95,
98,Derrick Byars,2,0,37,3,11,.273,0,6,.000,3,5,.600,.273,4,4,1.000,6,5,11,1,2,0,0,2,10,
99,Andrew Bynum,418,319,10690,1917,3446,.556,1,9,.111,1916,3437,.557,.556,987,1431,.690,1007,2214,3221,490,133,657,644,1028,4822,
100,Will Bynum,360,29,6611,1117,2529,.442,84,309,.272,1033,2220,.465,.458,603,755,.799,125,436,561,1185,256,29,578,670,2921,
101,Bruno Caboclo,11,0,27,4,14,.286,2,3,.667,2,11,.182,.357,0,0,,1,2,3,0,1,1,5,3,10,
102,Nick Calathes,129,7,2011,246,558,.441,30,104,.288,216,454,.476,.468,68,117,.581,42,201,243,353,129,13,162,217,590,
103,Jose Calderon,727,525,20944,2782,5857,.475,816,1984,.411,1966,3873,.508,.545,868,992,.875,258,1601,1859,4738,648,63,1195,1249,7248,
104,Kentavious Caldwell-Pope,212,173,6017,839,2066,.406,288,873,.330,551,1193,.462,.476,279,367,.760,127,473,600,255,243,45,195,422,2245,
105,Isaiah Canaan,121,45,2463,339,921,.368,222,607,.366,117,314,.373,.489,163,203,.803,37,188,225,216,76,17,153,198,1063,
106,Clint Capela,65,35,1196,176,313,.562,0,0,,176,313,.562,.562,62,170,.365,148,252,400,39,44,74,58,156,414,
107,DeMarre Carroll,339,186,7569,1003,2213,.453,286,778,.368,717,1435,.500,.518,388,539,.720,404,880,1284,392,339,78,250,667,2680,
108,Michael Carter-Williams,184,170,6031,1016,2467,.412,104,405,.257,912,2062,.442,.433,554,800,.693,210,824,1034,1148,316,105,636,520,2690,
109,Vince Carter,1249,951,40798,8601,19594,.439,1898,5097,.372,6703,14497,.462,.487,4619,5778,.799,1535,4293,5828,4345,1337,767,2404,3453,23719,
110,Omri Casspi,442,134,9583,1352,3070,.440,430,1168,.368,922,1902,.485,.510,565,833,.678,376,1446,1822,520,285,98,481,724,3699,
