815,Cedric Ball,7,0,26,3,8,.375,0,0,,3,8,.375,.375,2,2,1.000,5,6,11,0,0,2,2,5,8,,1990
816,Herschel Baltimore,,1946
817,Gene Banks,468,264,13074,2134,3961,.539,2,46,.043,2132,3915,.545,.539,1035,1418,.730,1009,1709,2718,1335,436,101,835,1289,5305,,1986
818,Marcus Banks,348,37,5571,741,1715,.432,125,382,.327,616,1333,.462,.469,454,591,.768,100,419,519,728,266,57,436,674,2061,,2010
819,Walker Banks,,1970
820,Ken Bannister,253,71,3867,586,1202,.488,0,4,.000,586,1198,.489,.488,329,669,.492,276,617,893,111,109,80,347,669,1501,,1990
821,Mike Bantom,706,38,19725,3446,7362,.468,3,15,.200,3443,7347,.469,.468,1673,2418,.692,1632,2885,4517,1623,630,478,946,2489,8568,,1981
822,John Barber,5,,19,2,8,.250,,,,2,8,.250,.250,3,6,.500,,,6,0,,,,4,7,,1956
823,Steve Bardo,33,0,299,28,85,.329,1,10,.100,27,75,.360,.335,16,23,.696,13,47,60,44,12,4,22,45,73,,1995
824,Cliff Barker,149,,494,201,637,.316,,,,201,637,.316,.316,155,234,.662,,,181,294,,,,253,557,,1951
825,Tom Barker,98,,1830,250,592,.422,,,,250,592,.422,.422,139,201,.692,156,364,520,75,43,52,34,299,639,,1978
826,Erick Barkley,27,4,266,32,90,.356,4,15,.267,28,75,.373,.378,9,10,.900,5,16,21,40,19,1,17,31,77,,2001
827,Dick Barnett,971,,28937,6034,13227,.456,,,,6034,13227,.456,.456,3290,4324,.761,1,3,2812,2729,1,0,,2514,15358,,1973
828,Harry Barnes,22,,126,18,64,.281,,,,18,64,.281,.281,7,13,.538,,,26,5,,,,25,43,,1968
829,Jim Barnes,454,,9455,1548,3607,.429,,,,1548,3607,.429,.429,901,1317,.684,,,2939,377,,,,1497,3997,,1970
830,Jim Barnett,732,,17410,3326,7642,.435,,,,3326,7642,.435,.435,1884,2363,.797,191,312,2259,2232,131,30,,1573,8536,,1976
831,Marvin Barnes,171,,3718,638,1444,.442,0,0,,638,1444,.442,.442,293,436,.672,295,651,946,252,145,167,222,576,1569,,1979
832,Nathaniel Barnett,,1975
833,John Barnhill,426,,10054,1490,3583,.416,,,,1490,3583,.416,.416,668,1026,.651,,,1193,1205,,,,751,3648,,1971
834,Leo Barnhorst,344,,7279,1356,3689,.368,,,,1356,3689,.368,.368,520,782,.665,,,1506,1116,,,,1033,3232,,1953
835,Norton Barnhill,4,,10,2,6,.333,,,,2,6,.333,.333,0,0,,2,1,3,1,0,0,,5,4,,1976
836,Andre Barrett,67,1,819,89,241,.369,17,69,.246,72,172,.419,.405,24,33,.727,21,50,71,135,29,1,47,69,219,,2007
837,Ernie Barrett,131,,2092,267,724,.369,,,,267,724,.369,.369,107,143,.748,,,343,229,,,,300,641,,1955
838,Mike Barrett,,1972
839,John Barr,,1946
840,Mike Barr,73,,1224,122,279,.437,,,,122,279,.437,.437,41,57,.719,33,97,130,175,52,18,,96,285,,1976
841,Moe Barr,31,,145,25,62,.403,,,,25,62,.403,.403,11,13,.846,,,20,28,,,,27,61,,1970
842,Dana Barros,850,264,19480,3281,7140,.460,1090,2652,.411,2191,4488,.488,.536,1249,1456,.858,232,1377,1609,2837,740,46,1213,1074,8901,,2003
843,Brent Barry,912,449,23643,2896,6301,.460,1395,3442,.405,1501,2859,.525,.570,1301,1581,.823,450,2330,2780,2892,955,253,1289,1754,8488,,2008
844,Drew Barry,60,0,598,43,103,.417,24,63,.381,19,40,.475,.534,24,31,.774,8,59,67,111,19,2,55,75,134,,1999
845,Jon Barry,821,36,13880,1595,3672,.434,657,1676,.392,938,1996,.470,.524,868,1023,.848,318,1195,1513,1784,722,111,808,1016,4715,,2005
846,Ed Bartels,32,,,46,183,.251,,,,46,183,.251,.251,43,80,.538,,,84,32,,,,83,135,,1950
847,Vic Bartolome,38,,165,15,59,.254,,,,15,59,.254,.254,4,5,.800,,,60,3,,,,22,34,,1971
848,Eddie Basden,19,0,141,15,37,.405,1,7,.143,14,30,.467,.419,8,10,.800,7,21,28,8,9,2,9,17,39,,2005
849,Jerry Baskerville,21,,105,8,26,.308,,,,8,26,.308,.308,10,16,.625,13,15,28,3,6,5,,32,26,,1975
850,Tim Bassett,235,,5588,570,1470,.388,0,0,,570,1470,.388,.388,250,420,.595,502,994,1496,285,209,115,192,673,1390,,1979
851,Maceo Baston,105,4,831,106,172,.616,3,8,.375,103,164,.628,.625,71,96,.740,56,119,175,26,24,43,54,140,286,,2008
852,Mengke Bateer,46,10,494,61,156,.391,5,15,.333,56,141,.397,.407,29,39,.744,39,75,114,27,11,5,40,118,156,,2003
853,Billy Ray Bates,187,3,3328,893,1885,.474,36,119,.303,857,1766,.485,.483,375,471,.796,148,165,313,352,151,16,274,265,2197,,1982
854,Esteban Batista,70,3,576,42,96,.438,0,1,.000,42,95,.442,.438,37,60,.617,68,106,174,11,18,11,42,124,121,,2006
855,Mike Batiste,75,2,1248,197,467,.422,18,81,.222,179,386,.464,.441,69,88,.784,82,175,257,52,42,16,69,120,481,,2002
856,Shane Battier,977,705,30004,2982,6819,.437,1250,3254,.384,1732,3565,.486,.529,1194,1606,.743,1273,2809,4082,1717,988,906,878,2208,8408,,2013
857,Tony Battie,837,429,17649,2143,4387,.488,12,74,.162,2131,4313,.494,.490,784,1137,.690,1376,2911,4287,522,420,713,704,2203,5082,,2011
858,John Battle,612,62,10910,2054,4430,.464,62,227,.273,1992,4203,.474,.471,1168,1472,.793,178,646,824,1257,273,43,659,874,5338,,1994
859,Kenny Battle,134,17,1795,243,482,.504,4,30,.133,239,452,.529,.508,137,189,.725,138,189,327,106,98,31,91,214,627,,1992
860,Dave Batton,58,5,589,90,201,.448,0,3,.000,90,198,.455,.448,8,17,.471,46,77,123,32,15,16,32,61,188,,1983
861,Lloyd Batts,,1974
862,Frankie Baumholtz,,1946
863,Johnny Baum,65,,556,126,304,.414,,,,126,304,.414,.414,40,58,.690,,,129,31,,,,56,292,,1973
864,Lonny Baxter,162,5,1884,247,530,.466,1,5,.200,246,525,.469,.467,142,216,.657,178,299,477,40,37,59,108,324,637,,2005
865,Howard Bayne,,1967
866,Sergei Bazarevich,10,0,74,11,22,.500,1,6,.167,10,16,.625,.523,7,9,.778,1,6,7,14,1,1,7,10,30,,1994
867,Ed Beach,12,,,8,38,.211,,,,8,38,.211,.211,6,9,.667,,,25,3,,,,14,22,,1950
868,Al Beard,,1967
869,Butch Beard,605,,14283,2187,4495,.487,,,,2187,4495,.487,.487,1248,1619,.771,482,970,2042,2189,499,36,164,1581,5622,,1978
870,Ralph Beard,126,,,749,2046,.366,,,,749,2046,.366,.366,508,660,.770,,,251,551,,,,228,2006,,1950
871,Charles Beasley,,1970
872,Jerome Beasley,2,0,5,1,3,.333,0,0,,1,3,.333,.333,0,0,,0,1,1,0,0,0,0,0,2,,2003
873,John Beasley,,1973
874,Zelmo Beaty,570,,18348,3396,7237,.469,,,,3396,7237,.469,.469,2315,3087,.750,93,234,5949,839,45,29,,2132,9107,,1974
875,Byron Beck,53,,480,107,246,.435,,,,107,246,.435,.435,36,44,.818,45,51,96,33,15,1,,59,250,,1976
876,Corey Beck,88,14,951,93,206,.451,3,5,.600,90,201,.448,.459,52,76,.684,36,89,125,123,43,9,87,134,241,,1998
877,Arthur Becker,,1972
878,Moe Becker,,1946
879,Ernie Beck,371,,7054,929,2425,.383,,,,929,2425,.383,.383,467,613,.762,,,1191,669,,,,667,2325,,1960
880,Bob Bedell,,1970
881,William Bedford,238,30,2514,405,974,.416,7,22,.318,398,952,.418,.419,147,243,.605,201,372,573,109,37,126,173,358,964,,1992
882,Hank Beenders,,1948
883,Ron Behagen,388,,9131,1594,3750,.425,0,0,,1594,3750,.425,.425,789,1047,.754,888,1824,2712,624,290,160,189,1293,3977,,1979
884,Elmer Behnke,4,,55,6,22,.273,,,,6,22,.273,.273,4,7,.571,,,17,4,,,,13,16,,1951
885,Charlie Bell,376,137,9368,1192,2891,.412,438,1213,.361,754,1678,.449,.488,382,497,.769,180,634,814,857,303,31,362,750,3204,,2010
886,Dennis Bell,63,,545,76,203,.374,,,,76,203,.374,.374,23,43,.535,52,67,119,28,28,10,,65,175,,1975
887,Raja Bell,706,479,19813,2581,5949,.434,956,2357,.406,1625,3592,.452,.514,880,1101,.799,408,1560,1968,1208,484,130,695,1840,6998,,2011
888,Troy Bell,6,0,34,4,18,.222,0,4,.000,4,14,.286,.222,3,3,1.000,3,1,4,4,1,0,6,6,11,,2003
889,Whitey Bell,36,,494,77,203,.379,,,,77,203,.379,.379,29,46,.630,,,94,56,,,,66,183,,1960
890,Irv Bemoras,131,,2479,309,890,.347,,,,309,890,.347,.347,209,311,.672,,,341,125,,,,228,827,,1956
